algorithm,avg_ciphertext_bytes,avg_dec_time_ms,avg_enc_time_ms,avg_gen_time_ms,avg_key_export_bytes,dec_speed_ops_per_sec,enc_speed_ops_per_sec,iterations,key_size_bits,message_size_bytes,std_dev_ms
RSA-2048,,,,28.88,1704.0,,,100,2048,,16.01
RSA-3072,,,,111.55,2484.0,,,100,3072,,76.05
ECC-256,,,,0.01,241.0,,,100,256,,0.01
ECC-384,,,,0.58,306.0,,,100,384,,0.01
ElGamal-2048,,,,12.75,1862.0,,,100,2048,,0.22
ElGamal-3072,,,,40.31,2787.0,,,100,3072,,0.46
RSA-2048,256.0,0.1782,0.0293,,,5611.14,34090.13,100,2048,57,
RSA-3072,384.0,0.5052,0.0448,,,1979.41,22305.99,100,3072,57,
ECC-256,150.0,0.0071,0.01,,,140508.65,99840.26,100,256,57,
ECC-384,182.0,0.0076,0.0081,,,131027.22,123839.04,100,384,57,
ElGamal-2048,512.0,31.729,28.7799,,,31.52,34.75,100,2048,57,
ElGamal-3072,767.0,98.5339,89.6667,,,10.15,11.15,100,3072,57,
