algorithm,data_size_kb,avg_time_ms,std_dev_ms,throughput_mbps,iterations
MD5,1.0,0.0017,0.002,575.12,100
MD5,10.0,0.0103,0.0004,951.54,100
MD5,100.0,0.0901,0.0002,1084.0,100
MD5,1024.0,0.907,0.0118,1102.49,100
MD5,10240.0,9.0614,0.0904,1103.59,100
MD5,51200.0,45.2659,0.425,1104.58,100
SHA1,1.0,0.0012,0.0024,848.45,100
SHA1,10.0,0.005,0.0007,1950.78,100
SHA1,100.0,0.0366,0.0003,2669.01,100
SHA1,1024.0,0.364,0.0045,2747.24,100
SHA1,10240.0,3.6418,0.0314,2745.87,100
SHA1,51200.0,18.1298,0.0888,2757.9,100
SHA256,1.0,0.0013,0.0031,753.52,100
SHA256,10.0,0.0052,0.0007,1871.53,100
SHA256,100.0,0.039,0.0007,2502.21,100
SHA256,1024.0,0.3879,0.0047,2577.88,100
SHA256,10240.0,3.855,0.0356,2594.06,100
SHA256,51200.0,19.3404,0.2135,2585.26,100
SHA512,1.0,0.0019,0.0027,514.25,100
SHA512,10.0,0.0094,0.0007,1034.6,100
SHA512,100.0,0.0791,0.0009,1234.81,100
SHA512,1024.0,0.8071,0.0236,1239.01,100
SHA512,10240.0,7.9413,0.0608,1259.24,100
SHA512,51200.0,39.8598,0.4093,1254.4,100
SHA3_256,1.0,0.0024,0.0028,407.92,100
SHA3_256,10.0,0.0151,0.0007,647.07,100
SHA3_256,100.0,0.1381,0.0038,706.96,100
SHA3_256,1024.0,1.4143,0.0261,707.07,100
SHA3_256,10240.0,14.0229,0.2217,713.12,100
SHA3_256,51200.0,70.3419,0.6368,710.81,100
SHA3_512,1.0,0.0035,0.0015,276.57,100
SHA3_512,10.0,0.0268,0.0011,364.54,100
SHA3_512,100.0,0.2559,0.0058,381.64,100
SHA3_512,1024.0,2.6084,0.0647,383.38,100
SHA3_512,10240.0,26.2912,0.2822,380.36,100
SHA3_512,51200.0,130.8326,1.436,382.17,100
BLAKE2B,1.0,0.0017,0.0023,591.14,100
BLAKE2B,10.0,0.0112,0.0007,872.09,100
BLAKE2B,100.0,0.1001,0.002,975.94,100
BLAKE2B,1024.0,1.0236,0.0214,976.92,100
BLAKE2B,10240.0,10.2612,0.0931,974.55,100
BLAKE2B,51200.0,50.9099,0.5189,982.13,100
